Listing ID,Host ID,Number of Listings Per Host,City,Latitude,Longitude,Listing Type,Price,Minimum Nights,Availability,Number of Reviews
27759,119900,1,New York City,40.77842,-73.97556,Entire home/apt,170,7,205,20
28907,124352,1,New York City,40.778,-73.94822,Entire home/apt,150,5,246,21
29013,35935,2,New York City,40.68332,-73.9547,Private room,70,3,90,64
29455,126607,4,New York City,40.81618,-73.94894,Entire home/apt,100,3,242,169
29628,127608,1,New York City,40.68414,-73.96351,Private room,89,3,364,281
29683,125857,1,New York City,40.72392,-73.99143,Entire home/apt,125,3,331,106
31130,117287,3,New York City,40.76754,-73.98399,Private room,134,1,351,66
31902,137292,1,New York City,40.63188,-73.93248,Private room,80,2,178,4
31994,137814,2,New York City,40.68818,-73.96383,Private room,80,2,362,464
32023,137974,2,New York City,40.68296,-73.93662,Entire home/apt,125,3,97,263
32037,116599,3,New York City,40.68513,-73.96648,Private room,139,4,365,92
32041,138073,1,New York City,40.72718,-74.00244,Entire home/apt,300,6,271,9
32289,139612,1,New York City,40.71561,-73.94835,Entire home/apt,199,3,308,10
32329,139853,1,New York City,40.72895,-73.98377,Entire home/apt,160,14,363,3
32363,140025,1,New York City,40.74028,-73.83168,Private room,70,2,36,1
32965,137974,2,New York City,40.68281,-73.93524,Entire home/apt,115,3,118,141
33009,143027,1,New York City,40.71492,-73.95935,Entire home/apt,195,4,310,252
33014,143048,1,New York City,40.72354,-73.98295,Entire home/apt,125,1,275,34
33156,128669,1,New York City,40.78849,-73.96883,Entire home/apt,150,10,329,19
36442,137432,1,New York City,40.67447,-73.96619,Entire home/apt,121,15,250,4
36647,157798,1,New York City,40.79295,-73.93997,Private room,79,3,145,34
36703,158284,1,New York City,40.73226,-74.00401,Entire home/apt,200,1,342,136
36934,159370,1,New York City,40.71363,-73.96398,Entire home/apt,125,6,250,27
37197,160605,1,New York City,40.72125,-73.98177,Entire home/apt,171,2,88,64
38638,92788,2,New York City,40.77711,-73.9527,Entire home/apt,152,4,360,134
38663,165789,1,New York City,40.68559,-73.98094,Entire home/apt,650,3,365,23
39267,168417,2,New York City,40.77456,-73.95323,Entire home/apt,99,1,293,261
39282,168525,1,New York City,40.71088,-73.95055,Private room,89,4,36,220
39572,169927,2,New York City,40.76233,-73.98854,Private room,139,3,281,44
39586,12220,2,New York City,40.77953,-73.98829,Private room,123,1,365,181
39593,110506,1,New York City,40.74559,-73.92313,Private room,79,30,97,29
40453,174025,1,New York City,40.76123,-73.9642,Entire home/apt,250,3,365,4
42300,184755,1,New York City,40.71824,-73.99315,Entire home/apt,450,5,311,57
42729,11481,3,New York City,40.6783,-74.00135,Entire home/apt,125,2,365,169
42882,185978,1,New York City,40.64633,-74.08156,Private room,70,2,341,176
43726,191091,1,New York City,40.71915,-74.01017,Entire home/apt,225,3,146,11
44096,190409,3,New York City,40.83232,-73.93184,Private room,50,1,364,277
44161,193360,1,New York City,40.71045,-73.9677,Entire home/apt,140,2,250,193
44229,181376,2,New York City,40.69098,-73.97113,Private room,110,2,359,231
44288,193637,1,New York City,40.73756,-74.00405,Entire home/apt,128,3,278,90
44506,126607,4,New York City,40.81526,-73.94791,Entire home/apt,135,3,300,97
45556,67778,2,New York City,40.68834,-73.97578,Private room,65,2,175,251
45910,204539,6,New York City,40.70382,-73.89797,Entire home/apt,357,4,365,13
45935,204586,1,New York City,40.8064,-73.92395,Private room,60,3,83,0
45936,867225,1,New York City,40.8063,-73.95985,Private room,75,4,365,129
46544,8198,1,New York City,40.67994,-73.97863,Entire home/apt,150,4,238,58
46911,210746,3,New York City,40.67868,-73.97307,Private room,100,3,250,51
47362,214148,1,New York City,40.68237,-73.9415,Entire home/apt,175,26,365,30
48719,221873,1,New York City,40.71882,-73.98852,Entire home/apt,192,30,64,116
50447,9744,3,New York City,40.6693,-73.98804,Entire home/apt,126,4,346,171
51850,27848,6,New York City,40.67144,-73.76501,Private room,65,2,365,53
53469,204539,6,New York City,40.71722,-73.87856,Entire home/apt,100,7,365,33
53470,204539,6,New York City,40.70234,-73.89816,Private room,160,4,365,6
53758,251176,1,New York City,40.72681,-73.98777,Private room,99,2,26,95
54453,255583,1,New York City,40.76548,-73.98474,Shared room,146,6,363,10
54466,253385,1,New York City,40.80234,-73.95603,Private room,200,30,365,0
54544,256161,5,New York City,40.81035,-73.94598,Entire home/apt,161,1,365,122
54626,190409,3,New York City,40.83075,-73.93058,Private room,55,1,364,181
54694,27848,6,New York City,40.67144,-73.76501,Private room,65,2,365,62
54860,258164,1,New York City,40.79958,-73.94275,Private room,100,5,345,228
55498,262138,1,New York City,40.6829,-73.93549,Private room,79,14,131,42
55668,88209,1,New York City,40.72773,-73.99134,Entire home/apt,140,2,43,115
56525,268014,1,New York City,40.729,-73.95829,Entire home/apt,295,2,6,73
56859,256161,5,New York City,40.81219,-73.94499,Private room,78,1,338,208
57166,272006,1,New York City,40.77185,-73.90502,Entire home/apt,119,3,164,38
57297,199392,1,New York City,40.68926,-73.99386,Entire home/apt,162,4,117,239
57618,274557,1,New York City,40.7672,-73.98508,Entire home/apt,250,3,90,107
57740,275459,1,New York City,40.73012,-73.99053,Entire home/apt,239,4,362,7
57754,275578,1,New York City,40.7403,-73.98498,Entire home/apt,219,2,334,119
57874,276291,2,New York City,40.80931,-73.94343,Entire home/apt,157,3,327,260
58062,277394,1,New York City,40.65912,-73.9842,Private room,139,2,349,25
58467,279797,1,New York City,40.76193,-73.9501,Private room,99,7,113,22
59014,282927,1,New York City,40.72052,-73.98589,Entire home/apt,150,3,307,57
59121,204539,6,New York City,40.70411,-73.89934,Entire home/apt,168,4,365,2
59709,186084,2,New York City,40.71756,-73.99503,Entire home/apt,100,7,155,21
59855,288031,1,New York City,40.7589,-73.96991,Entire home/apt,250,30,250,82
60164,289653,1,New York City,40.72003,-74.00262,Entire home/apt,500,4,174,106
60193,289838,1,New York City,40.80481,-73.94777,Private room,150,3,365,2
60666,256161,5,New York City,40.8118,-73.94434,Private room,110,1,365,215
60673,249372,1,New York City,40.81583,-73.94707,Private room,125,2,365,3
60680,292630,1,New York City,40.72654,-73.98049,Entire home/apt,86,2,359,155
60948,126607,4,New York City,40.80942,-73.93936,Entire home/apt,95,3,206,152
61224,291112,1,New York City,40.74358,-74.00027,Entire home/apt,900,2,365,35
61747,299370,1,New York City,40.65979,-73.9618,Entire home/apt,91,14,20,97
62427,303882,1,New York City,40.7268,-73.99079,Entire home/apt,130,9,178,61
62452,303939,5,New York City,40.63536,-74.08537,Private room,38,2,362,213
62461,303939,5,New York City,40.63627,-74.08543,Private room,38,2,333,171
62468,304081,1,New York City,40.79323,-73.97267,Entire home/apt,170,5,365,30
62787,303939,5,New York City,40.63518,-74.08546,Private room,38,2,362,200
62891,306545,2,New York City,40.72477,-73.98161,Entire home/apt,140,3,160,198
62903,306605,2,New York City,40.74238,-73.99567,Entire home/apt,205,15,89,68
62925,306739,3,New York City,40.72945,-73.95511,Entire home/apt,285,3,356,129
63320,303939,5,New York City,40.63481,-74.08519,Private room,38,2,354,250
63360,307962,1,New York City,40.75384,-73.91433,Entire home/apt,140,4,354,480
63588,295128,7,New York City,40.81309,-73.85514,Private room,89,2,293,0
63610,310670,9,New York City,40.881,-73.83511,Entire home/apt,102,2,363,44
63913,312288,3,New York City,40.86648,-73.9263,Private room,64,7,270,1
64000,312722,5,New York City,40.7069,-73.95467,Private room,60,29,362,14
64107,313317,1,New York City,40.6778,-73.94339,Private room,100,3,318,308
64365,314582,2,New York City,40.67586,-73.95155,Private room,60,2,364,244
65268,319092,1,New York City,40.68276,-73.95264,Private room,75,5,252,63
65615,320761,1,New York City,40.71069,-73.95175,Entire home/apt,90,10,338,55
65660,320538,1,New York City,40.70863,-73.94641,Entire home/apt,105,4,177,157
65813,321756,1,New York City,40.82888,-73.94307,Private room,75,3,364,20
65834,321934,1,New York City,40.67319,-73.97323,Entire home/apt,200,5,244,11
66008,322884,1,New York City,40.67846,-73.99443,Entire home/apt,190,3,250,68
66251,324460,1,New York City,40.72681,-73.98534,Entire home/apt,149,4,70,93
66275,314941,5,New York City,40.71904,-73.99392,Entire home/apt,99,1,343,144
66451,325389,1,New York City,40.71031,-73.9583,Entire home/apt,90,5,130,11
66718,136227,1,New York City,40.81322,-73.95306,Entire home/apt,108,6,343,209
66741,327673,2,New York City,40.67732,-73.98225,Entire home/apt,236,2,230,250
66974,329436,2,New York City,40.68076,-73.9896,Entire home/apt,141,2,345,89
67288,101597,1,New York City,40.79544,-73.94836,Entire home/apt,99,28,332,29
67299,330347,1,New York City,40.71492,-73.96282,Entire home/apt,69,30,47,62
67397,332189,1,New York City,40.80332,-73.95741,Private room,122,15,219,112
68099,323517,2,New York City,40.80082,-73.9652,Private room,109,1,365,112
68253,67730,1,New York City,40.76336,-73.92099,Private room,55,1,251,0
68305,338454,1,New York City,40.83035,-73.94933,Private room,75,15,365,66
68735,342054,1,New York City,40.78971,-73.9729,Entire home/apt,199,11,359,33
68765,282655,4,New York City,40.67817,-73.99495,Entire home/apt,229,4,282,138
68900,343250,1,New York City,40.73119,-73.95578,Private room,125,3,364,7
68974,281229,1,New York City,40.71943,-73.99627,Entire home/apt,611,2,358,216
69894,352168,1,New York City,40.78,-73.98249,Entire home/apt,150,30,61,50
69921,155689,1,New York City,40.70514,-73.91922,Private room,82,3,363,53
70128,354330,1,New York City,40.73198,-73.98881,Private room,52,14,173,53
70279,61531,2,New York City,40.67714,-74.0113,Entire home/apt,168,4,364,64
